t,<H_sys>,P_1,P_2
806000,1.836670e-02,1.104846e-04,8.667934e-02
808000,1.836599e-02,1.117074e-04,8.690668e-02
810000,1.836528e-02,1.129394e-04,8.713430e-02
812000,1.836457e-02,1.141807e-04,8.736208e-02
814000,1.836386e-02,1.154314e-04,8.758967e-02
816000,1.836315e-02,1.166914e-04,8.781668e-02
818000,1.836244e-02,1.179608e-04,8.804286e-02
820000,1.836173e-02,1.192396e-04,8.826815e-02
822000,1.836103e-02,1.205278e-04,8.849273e-02
824000,1.836032e-02,1.218256e-04,8.871697e-02
826000,1.835962e-02,1.231328e-04,8.894122e-02
828000,1.835891e-02,1.244496e-04,8.916572e-02
830000,1.835820e-02,1.257759e-04,8.939047e-02
832000,1.835749e-02,1.271119e-04,8.961524e-02
834000,1.835678e-02,1.284575e-04,8.983966e-02
836000,1.835608e-02,1.298127e-04,9.006340e-02
838000,1.835538e-02,1.311776e-04,9.028626e-02
840000,1.835468e-02,1.325523e-04,9.050828e-02
842000,1.835398e-02,1.339366e-04,9.072973e-02
844000,1.835329e-02,1.353308e-04,9.095097e-02
846000,1.835259e-02,1.367348e-04,9.117231e-02
848000,1.835189e-02,1.381486e-04,9.139392e-02
850000,1.835120e-02,1.395723e-04,9.161569e-02
852000,1.835050e-02,1.410058e-04,9.183735e-02
854000,1.834981e-02,1.424493e-04,9.205852e-02
856000,1.834911e-02,1.439027e-04,9.227892e-02
858000,1.834842e-02,1.453661e-04,9.249843e-02
860000,1.834773e-02,1.468395e-04,9.271720e-02
862000,1.834704e-02,1.483230e-04,9.293553e-02
864000,1.834635e-02,1.498165e-04,9.315378e-02
866000,1.834565e-02,1.513201e-04,9.337220e-02
868000,1.834496e-02,1.528338e-04,9.359086e-02
870000,1.834427e-02,1.543576e-04,9.380957e-02
872000,1.834358e-02,1.558917e-04,9.402803e-02
874000,1.834289e-02,1.574359e-04,9.424588e-02
876000,1.834221e-02,1.589903e-04,9.446289e-02
878000,1.834153e-02,1.605550e-04,9.467905e-02
880000,1.834086e-02,1.621300e-04,9.489458e-02
882000,1.834018e-02,1.637153e-04,9.510981e-02
884000,1.833950e-02,1.653109e-04,9.532506e-02
886000,1.833882e-02,1.669169e-04,9.554052e-02
888000,1.833813e-02,1.685332e-04,9.575616e-02
890000,1.833745e-02,1.701600e-04,9.597175e-02
892000,1.833677e-02,1.717971e-04,9.618693e-02
894000,1.833608e-02,1.734448e-04,9.640141e-02
896000,1.833540e-02,1.751029e-04,9.661503e-02
898000,1.833473e-02,1.767716e-04,9.682786e-02
900000,1.833406e-02,1.784508e-04,9.704018e-02
902000,1.833339e-02,1.801405e-04,9.725232e-02
904000,1.833272e-02,1.818408e-04,9.746457e-02
906000,1.833205e-02,1.835518e-04,9.767703e-02
908000,1.833138e-02,1.852734e-04,9.788959e-02
910000,1.833071e-02,1.870056e-04,9.810197e-02
912000,1.833004e-02,1.887485e-04,9.831381e-02
914000,1.832937e-02,1.905021e-04,9.852488e-02
916000,1.832870e-02,1.922665e-04,9.873510e-02
918000,1.832804e-02,1.940416e-04,9.894464e-02
920000,1.832737e-02,1.958275e-04,9.915378e-02
922000,1.832670e-02,1.976242e-04,9.936287e-02
924000,1.832604e-02,1.994317e-04,9.957211e-02
926000,1.832537e-02,2.012500e-04,9.978154e-02
928000,1.832471e-02,2.030793e-04,9.999095e-02
930000,1.832405e-02,2.049194e-04,1.002000e-01
932000,1.832339e-02,2.067704e-04,1.004085e-01
934000,1.832273e-02,2.086324e-04,1.006162e-01
936000,1.832208e-02,2.105053e-04,1.008230e-01
938000,1.832142e-02,2.123893e-04,1.010293e-01
940000,1.832077e-02,2.142842e-04,1.012353e-01
942000,1.832012e-02,2.161902e-04,1.014413e-01
944000,1.831946e-02,2.181072e-04,1.016475e-01
946000,1.831881e-02,2.200352e-04,1.018539e-01
948000,1.831815e-02,2.219744e-04,1.020601e-01
950000,1.831750e-02,2.239247e-04,1.022659e-01
952000,1.831685e-02,2.258861e-04,1.024709e-01
954000,1.831620e-02,2.278587e-04,1.026751e-01
956000,1.831555e-02,2.298424e-04,1.028786e-01
958000,1.831490e-02,2.318373e-04,1.030817e-01
960000,1.831425e-02,2.338435e-04,1.032846e-01
962000,1.831361e-02,2.358609e-04,1.034876e-01
964000,1.831296e-02,2.378895e-04,1.036908e-01
966000,1.831232e-02,2.399295e-04,1.038939e-01
968000,1.831168e-02,2.419807e-04,1.040969e-01
970000,1.831104e-02,2.440432e-04,1.042993e-01
972000,1.831040e-02,2.461171e-04,1.045009e-01
974000,1.830976e-02,2.482023e-04,1.047018e-01
976000,1.830912e-02,2.502989e-04,1.049020e-01
978000,1.830849e-02,2.524069e-04,1.051018e-01
980000,1.830785e-02,2.545263e-04,1.053017e-01
982000,1.830721e-02,2.566572e-04,1.055016e-01
984000,1.830657e-02,2.587995e-04,1.057017e-01
986000,1.830593e-02,2.609532e-04,1.059017e-01
988000,1.830530e-02,2.631185e-04,1.061014e-01
990000,1.830466e-02,2.652952e-04,1.063004e-01
992000,1.830403e-02,2.674835e-04,1.064986e-01
994000,1.830341e-02,2.696833e-04,1.066961e-01
996000,1.830278e-02,2.718946e-04,1.068930e-01
998000,1.830216e-02,2.741176e-04,1.070897e-01
1000000,1.830153e-02,2.763521e-04,1.072865e-01
